Name,Count,Channel
Kim,1021,Khan Academy
Mark Graber,7,Khan Academy
Michael Rappaport,8,Khan Academy
Graber,5,Khan Academy
Articles,7,Khan Academy
George Washington,85,Khan Academy
Alexander Hamilton,83,Khan Academy
James Madison,140,Khan Academy
Hamilton,59,Khan Academy
Madison,126,Khan Academy
Patrick Henry,6,Khan Academy
Samuel Adams,6,Khan Academy
Dred Scott v. Sanford,10,Khan Academy
Dred Scott,140,Khan Academy
Christopher Bracey,7,Khan Academy
Peter,8,Khan Academy
Elizabeth Taylor Blow,12,Khan Academy
Peter Blow,14,Khan Academy
Emerson,38,Khan Academy
Irene Sanford,6,Khan Academy
Dred Scott's,11,Khan Academy
John Sanford,6,Khan Academy
Taney,21,Khan Academy
John C. Calhoun,4,Khan Academy
Abraham Lincoln,273,Khan Academy
Roger B. Taney,4,Khan Academy
Harriet,10,Khan Academy
Kermit Roosevelt,6,Khan Academy
Michael Ramsey,6,Khan Academy
Roosevelt,92,Khan Academy
Lincoln,18,Khan Academy
Marbury,29,Khan Academy
Michael Claremont,5,Khan Academy
Law,18,Khan Academy
Kevin Walsh,8,Khan Academy
Walsh,5,Khan Academy
John Adams,61,Khan Academy
Thomas Jefferson,147,Khan Academy
Jefferson,71,Khan Academy
William Marbury,33,Khan Academy
John Marshall,143,Khan Academy
Adams,7,Khan Academy
John Marshall's,15,Khan Academy
Trump,11,Khan Academy
Truman,23,Khan Academy
Jeff Rosen,30,Khan Academy
Richard Garnett,10,Khan Academy
Alexander Hamilton's,6,Khan Academy
Andrew Jackson,116,Khan Academy
trumps,4,Khan Academy
Alan Gura,37,Khan Academy
Adam Winkler,18,Khan Academy
The Battle of Lexington,6,Khan Academy
Miller,32,Khan Academy
Heller,39,Khan Academy
Sal,38,Khan Academy
Jeffrey Rosen,57,Khan Academy
James Wilson,21,Khan Academy
King George,10,Khan Academy
Brexit,5,Khan Academy
Jacobson,10,Khan Academy
Harlan,10,Khan Academy
Ernesto Miranda,82,Khan Academy
Miranda,64,Khan Academy
Paul Cassell,5,Khan Academy
Patricia,16,Khan Academy
Ernesto Miranda's,20,Khan Academy
Hugo Black,5,Khan Academy
John Flynn,5,Khan Academy
Flynn,12,Khan Academy
Telford Taylor,5,Khan Academy
Cassell,11,Khan Academy
Tracy Mears,11,Khan Academy
Oren Kerr,10,Khan Academy
Kerr,21,Khan Academy
Mears,30,Khan Academy
Assistance,5,Khan Academy
Rosa Parks,4,Khan Academy
Jim Crow,107,Khan Academy
Plessy,148,Khan Academy
Ferguson,122,Khan Academy
Jamal Green,7,Khan Academy
Homer Plessy,10,Khan Academy
Brown,34,Khan Academy
Rick Hasson,14,Khan Academy
Bradley Smith,21,Khan Academy
Smith,8,Khan Academy
Jones,12,Khan Academy
Bush,20,Khan Academy
George W. Bush,25,Khan Academy
McConnell,10,Khan Academy
Citizens United,36,Khan Academy
Hillary the Movie,8,Khan Academy
Hillary Clinton,50,Khan Academy
Barack Obama,25,Khan Academy
Obama,61,Khan Academy
Benjamin Blumen,8,Khan Academy
Sonia West,5,Khan Academy
Donald Trump,34,Khan Academy
Irwin Chemerinsky,20,Khan Academy
Dean,8,Khan Academy
Michael McConnell,14,Khan Academy
Chemerinsky,14,Khan Academy
Gutenberg,6,Khan Academy
Potter Stewart,6,Khan Academy
Ilya Somen,11,Khan Academy
Heather Gerkin,6,Khan Academy
Neil Gorsuch,5,Khan Academy
Richard Nixon,15,Khan Academy
Nixon,23,Khan Academy
Andrew Johnson,36,Khan Academy
Bill Clinton,22,Khan Academy
marijuana,16,Khan Academy
Baker,107,Khan Academy
Carr,86,Khan Academy
Theodore Olson,7,Khan Academy
Gibson Dunn,5,Khan Academy
Guy Charles,5,Khan Academy
Edward,5,Khan Academy
Ellen Schwartzman,5,Khan Academy
Earl Warren,6,Khan Academy
Charles Baker,27,Khan Academy
Randy Barnett,22,Khan Academy
Neil Siegel,6,Khan Academy
Barnett,17,Khan Academy
McCulloch,40,Khan Academy
Edmund Randolph,9,Khan Academy
James McCulloch,18,Khan Academy
Marshall,44,Khan Academy
Robert Shapiro,5,Khan Academy
David Strauss,31,Khan Academy
Strauss,13,Khan Academy
McDonald,6,Khan Academy
Elizabeth Wydra,23,Khan Academy
Otis McDonald,26,Khan Academy
Alito,14,Khan Academy
Thomas,23,Khan Academy
Scalia,12,Khan Academy
Erin Holly,14,Khan Academy
Erin Holly's,5,Khan Academy
Gabriel Chin,11,Khan Academy
Clinton,20,Khan Academy
Thomas Jefferson's,18,Khan Academy
Benjamin Franklin,8,Khan Academy
Richard Epstein,12,Khan Academy
colonists,4,Khan Academy
Griswold,20,Khan Academy
Douglas,15,Khan Academy
Jeffrey Fisher,6,Khan Academy
Walter Raleigh,27,Khan Academy
Fisher,10,Khan Academy
Kurt Lash,6,Khan Academy
George Mason,10,Khan Academy
Gerry,5,Khan Academy
John Bingham,10,Khan Academy
Roger Sherman,2,Khan Academy
Clark Forsythe,15,Khan Academy
Melissa Murray,12,Khan Academy
Alexander F.,6,Khan Academy
May T. Morrison,6,Khan Academy
Norma McCorvey,42,Khan Academy
Jane Roe,11,Khan Academy
Sarah Weddington,12,Khan Academy
Linda Coffey,7,Khan Academy
Wade,15,Khan Academy
Henry Wade,6,Khan Academy
William O. Douglas,5,Khan Academy
Rehnquist,15,Khan Academy
White,5,Khan Academy
Frank Church,5,Khan Academy
Harris,5,Khan Academy
Casey,5,Khan Academy
Hellerstedt,9,Khan Academy
Stephen Breyer,10,Khan Academy
Oliver Brown,13,Khan Academy
Linda Brown,6,Khan Academy
Theodore Shaw,11,Khan Academy
Richard,6,Khan Academy
Kenneth Clark,6,Khan Academy
Leon Higginbotham,6,Khan Academy
Martin Luther King,15,Khan Academy
Thurgood Marshall,11,Khan Academy
Sai Prakash,8,Khan Academy
Michael Gerhart,7,Khan Academy
Gerhart,9,Khan Academy
Prakash,7,Khan Academy
Franklin Roosevelt,18,Khan Academy
John Stineford,6,Khan Academy
Jeffries,6,Khan Academy
Aldgate,6,Khan Academy
Livermore,9,Khan Academy
Anthony Kennedy,6,Khan Academy
Breyer,6,Khan Academy
Jekyll,5,Khan Academy
Hyde,6,Khan Academy
FDR,19,Khan Academy
Ronald Reagan,23,Khan Academy
Barack Obama's,3,Khan Academy
Milton Friedman,7,Khan Academy
Fidel Castro,18,Khan Academy
Kennedy,33,Khan Academy
John F. Kennedy,11,Khan Academy
Batista,6,Khan Academy
Kim Il-sung,7,Khan Academy
Syngman Rhee,8,Khan Academy
Mao Zedong,7,Khan Academy
David,111,Khan Academy
Harry Truman,5,Khan Academy
Joseph Stalin,10,Khan Academy
Stalin,14,Khan Academy
Hitler,43,Khan Academy
Johnson,12,Khan Academy
Lyndon B. Johnson,1,Khan Academy
Karl Marx,15,Khan Academy
Vladimir Lenin,7,Khan Academy
Karl Marx's,6,Khan Academy
Mark Twain,9,Khan Academy
Jamestown,20,Khan Academy
John Winthrop,2,Khan Academy
William Penn,10,Khan Academy
Penn,2,Khan Academy
John White,21,Khan Academy
John Smith,7,Khan Academy
Christopher Columbus,118,Khan Academy
Elizabeth,6,Khan Academy
Mary,8,Khan Academy
Queen Elizabeth,8,Khan Academy
Ben Franklin,7,Khan Academy
