Name,Count,Channel,gender,occupation,ethnic_group
Shaw,7,Khan Academy,female,basketball player,None
Martin Luther King Jr.,10,Khan Academy,male,writer|politician|pastor|opinion journalist|preacher|pacifist|civil rights advocate|peace activist|human rights activist,African Americans
John Adams',4,Khan Academy,None,None,None
Sal Khan,19,Khan Academy,male,writer|teacher|entrepreneur|television producer|mathematician|YouTuber,None
Bibas,16,Khan Academy,None,None,None
John Bestler,13,Khan Academy,None,None,None
Bestler,9,Khan Academy,None,None,None
Donald Dripps,5,Khan Academy,None,None,None
Stephen Salzburg,12,Khan Academy,None,None,None
Wallace,6,Khan Academy,male,mathematician|botanical collector|writer|naturalist|zoologist|ornithologist|explorer|botanist|beekeeper|entomologist|anti-vaccine activist|world traveler|biologist|anthropologist|zoological collector|geographer,None
Magna Carta,5,Khan Academy,None,None,None
King John,5,Khan Academy,male,monarch,None
Northerners,2,Khan Academy,None,None,None
Everett,9,Khan Academy,male,botanist,None
Congressperson,6,Khan Academy,None,None,None
Amy Green,16,Khan Academy,female,ship-owner,None
Ken Rose,15,Khan Academy,male,American football player,None
George W. Bush's,9,Khan Academy,None,None,None
John,5,Khan Academy,male,Catholic priest|Catholic bishop,None
Mitt Romney,9,Khan Academy,male,politician|Mormon missionary|business executive|consultant|non-fiction writer,None
John McCain,4,Khan Academy,male,screenwriter|writer|author|fighter pilot|politician|television presenter|aircraft pilot|naval officer|autobiographer,None
John Kerry,4,Khan Academy,male,lawyer|politician|diplomat|aircraft pilot|naval officer|peace activist|climate activist,None
Hillary Clinton's,4,Khan Academy,None,None,None
Franklin D. Roosevelt,9,Khan Academy,male,statesperson,None
Jimmy Carter,3,Khan Academy,male,writer|businessperson|engineer|politician|diplomat|farmer|statesperson|human rights activist|submariner|environmentalist|novelist|naval officer|peace activist|autobiographer|humanitarian,None
Theodore Roosevelt,20,Khan Academy,male,naturalist|writer|politician|historian|ornithologist|statesperson|rancher|explorer|essayist|conservationist|autobiographer|diarist,None
Ross Perot,10,Khan Academy,male,politician|entrepreneur|naval officer,None
Ross,2,Khan Academy,male,entrepreneur,None
Donald Trump's,6,Khan Academy,None,None,None
Reagan,13,Khan Academy,None,None,None
Martin Luther King's,18,Khan Academy,None,None,None
Otis McDonald's,5,Khan Academy,None,None,None
Ernesto,27,Khan Academy,male,cabaret performer,None
Bill,1,Khan Academy,male,diplomat|politician|ambassador,None
Powell,6,Khan Academy,male,missionary|botanist|writer,None
Grutter,4,Khan Academy,None,None,None
Clarence Thomas,2,Khan Academy,male,judge|lawyer|politician,African Americans
Roe,10,Khan Academy,male,politician|botanist|naval officer|explorer|diarist,None
Martin Luther King Jr.'s,13,Khan Academy,None,None,None
Jacob Riis,21,Khan Academy,male,biographer|writer|photographer|photojournalist|journalist|sociologist,None
Hooray,2,Khan Academy,female,snooker player,None
Andrew Carnegie,10,Khan Academy,male,writer|entrepreneur|economist|merchant|fabricator|business magnate|industrialist|philanthropist,None
J.P. Morgan,10,Khan Academy,male,art collector|financier|banker|entrepreneur,None
John D. Rockefeller,6,Khan Academy,male,entrepreneur|accountant|banker,Americans
John D. Rockefeller's,2,Khan Academy,None,None,None
Darwin,8,Khan Academy,male,writer|naturalist|geologist|botanist|ethologist|travel writer|philosopher|explorer,None
Spencer,23,Khan Academy,male,painter,None
Thomas Edison,1,Khan Academy,male,engineer|screenwriter|film director|businessperson|entrepreneur|mathematician|physicist|inventor,Americans
North,4,Khan Academy,male,musician,None
Lee Chu,19,Khan Academy,None,None,None
Mary Anton,7,Khan Academy,None,None,None
Christopher Columbus's,15,Khan Academy,None,None,None
Isabella,16,Khan Academy,female,None,None
Franklin Delano Roosevelt,100,Khan Academy,male,statesperson,None
Franklin Delano Roosevelt's,25,Khan Academy,None,None,None
Herbert Hoover,12,Khan Academy,male,politician|statesperson|writer|engineer|businessperson|mining engineer|geologist,None
Marco Polo,2,Khan Academy,male,entrepreneur|writer|ambassador|explorer|diplomat|traveler|merchant|world traveler|memoirist,None
Greeks,2,Khan Academy,None,None,None
Aztecs,6,Khan Academy,None,None,None
Hoover,2,Khan Academy,male,singer|songwriter,None
Daniel Shays,6,Khan Academy,male,farmer,None
Thomas Paine,2,Khan Academy,male,writer|politician|entrepreneur|journalist|philosopher|opinion journalist|prose writer,None
Abigail Adams,2,Khan Academy,female,writer|politician,None
John Locke,12,Khan Academy,male,writer|scientist|physician|politician|philosopher|philosopher of law,None
John Locke's,7,Khan Academy,None,None,None
Braddock,2,Khan Academy,None,None,None
Jeff,13,Khan Academy,male,researcher,None
James Madison's,8,Khan Academy,None,None,None
Jackson,15,Khan Academy,male,pornographic actor,None
George Washington's,4,Khan Academy,None,None,None
Mitch McConnell,10,Khan Academy,male,judge|lawyer|politician|legislative assistant,None
Chuck Grassley,7,Khan Academy,male,politician|farmer|university teacher|legislator,None
Twitter,3,Khan Academy,None,None,None
Eisenhower,8,Khan Academy,male,military personnel|politician|writer|military officer|statesperson|army officer,None
Theodore Roosevelt's,1,Khan Academy,None,None,None
James Monroe,2,Khan Academy,male,writer|lawyer|politician|farmer|diplomat|statesperson,None
Gerald Ford,6,Khan Academy,male,lawyer|politician|military officer|statesperson|gridiron football player|autobiographer|American football player,None
Lyndon Johnson's,3,Khan Academy,None,None,None
Lyndon Johnson,4,Khan Academy,male,teacher|politician|rancher|statesperson,None
George H.W. Bush,2,Khan Academy,male,politician|entrepreneur|diplomat|statesperson|aircraft pilot|naval officer|baseball player|autobiographer,None
Bill Clinton's,2,Khan Academy,None,None,None
Uncle Sam,1,Khan Academy,male,singer,None
Hernán Cortés,5,Khan Academy,male,conquistador|governor|explorer,None
Pearl Harbor,6,Khan Academy,female,musician|singer,None
Adolf Hitler,5,Khan Academy,male,politician,None
Vichy France,5,Khan Academy,None,None,None
Winston Churchill,2,Khan Academy,male,politician|historian,None
Woodrow Wilson,27,Khan Academy,male,writer|teacher|lawyer|politician|statesperson|political scientist|university teacher|jurist|academic,None
Teddy Roosevelt,3,Khan Academy,male,naturalist|writer|politician|historian|ornithologist|statesperson|rancher|explorer|essayist|conservationist|autobiographer|diarist,None
Wilson,21,Khan Academy,None,None,None
Iwo Jima,5,Khan Academy,None,None,None
Ida B. Wells,1,Khan Academy,female,writer|human rights activist|journalist|sociologist|suffragist,African Americans
Woodrow Wilson's,5,Khan Academy,None,None,None
Mussolini,6,Khan Academy,male,teacher|politician|journalist|fascist,None
Michel,7,Khan Academy,male,association football manager|association football player|television presenter,None
Lorenzo,16,Khan Academy,male,painter,None
Ty,7,Khan Academy,male,record producer|musician|rapper|composer,None
Kiko,5,Khan Academy,male,journalist|association football player|television presenter,None
John Emerson,7,Khan Academy,male,actor|writer|screenwriter|playwright|stage actor|film director|film producer|film actor,None
Eliza Sanford,6,Khan Academy,None,None,None
Roger Tawny,7,Khan Academy,None,None,None
max,1,Khan Academy,None,None,None
Eleanor Roosevelt,4,Khan Academy,female,politician|diplomat|writer|columnist|women's rights activist|human rights activist|journalist|peace activist|autobiographer,None
James Henry Hammond,10,Khan Academy,male,lawyer|politician|jurist|journalist|planter class,None
Hmm,1,Khan Academy,None,None,None
Douglass,11,Khan Academy,male,artist,African Americans
B.,1,Khan Academy,male,saxophonist|jazz musician,None
Grover,15,Khan Academy,male,musician,None
Sol Khan,8,Khan Academy,None,None,None
Jeffrey Rose,6,Khan Academy,male,motivational speaker|nutritionist|lecturer,None
William Howard Taft,2,Khan Academy,male,writer|judge|university teacher|lawyer|politician|statesperson|prosecutor|pedagogue,None
Taft,3,Khan Academy,male,botanist,None
John Jay,10,Khan Academy,male,lawyer|politician|judge|diplomat,None
Aaron Burr,1,Khan Academy,male,lawyer|politician|jurist|military officer|bretteur,None
Dwight Eisenhower,2,Khan Academy,male,military personnel|politician|writer|military officer|statesperson|army officer,None
Andrew Jackson's,14,Khan Academy,None,None,None
Stephen Douglas,4,Khan Academy,male,judge|lawyer|politician,None
William Jennings Bryan,4,Khan Academy,male,writer|lawyer|politician|diplomat|editor|publisher,None
Joe,3,Khan Academy,male,politician|diplomat|lawyer|journalist,None
Federalist Papers,6,Khan Academy,None,None,None
Brutus,24,Khan Academy,male,photographer|writer|physicist|inventor|painter|sculptor|university teacher,None
Thomas Hobbes,8,Khan Academy,male,writer|mathematician|economist|philosopher of law|historian|philosopher|politician|in-home tutor|translator|political scientist,None
Gore,2,Khan Academy,male,writer|businessperson|blogger|politician|orator|climate activist|journalist|financier|environmentalist,None
Alfonso Lopez,5,Khan Academy,male,boxer,None
John Dickerson,8,Khan Academy,male,horse trainer,None
Abigail,1,Khan Academy,female,None,None
O'Connor,2,Khan Academy,male,botanist,None
Lyman Beecher,7,Khan Academy,male,writer|presbyter|theologian,None
John Quincy Adams,23,Khan Academy,male,lawyer|writer|politician|diplomat|statesperson|diarist,None
Martin Van Buren,2,Khan Academy,male,writer|lawyer|politician|diplomat|statesperson,None
William Henry Harrison,6,Khan Academy,male,military officer|politician|diplomat|statesperson,None
William Henry Harrison's,1,Khan Academy,None,None,None
Jesus Christ,2,Khan Academy,male,teacher|prophet|religious leader|preacher|thaumaturge|Messiah|father of faith|rabbi|carpenter|healer|tektōn|pastor,Jewish people
Charles Grandison Finney,5,Khan Academy,male,writer|theologian|religious leader,None
Monroe,10,Khan Academy,male,record producer,None
William McKinley,1,Khan Academy,male,politician|statesperson|lawyer,None
Albert Einstein,1,Khan Academy,male,physicist,Jewish people
Binky Barnes,8,PBS Kids,None,None,None
Buster Baxter's,18,PBS Kids,None,None,None
Buster Baxter,22,PBS Kids,None,None,None
Daniel,1,PBS Kids,male,composer,None
Peggy,7,PBS Kids,female,singer,None
Eva,1,PBS Kids,female,pornographic actor,None
Harry,14,PBS Kids,male,ichthyologist,None
Kitty Academy,7,PBS Kids,None,None,None
Xavier Riddle,41,PBS Kids,None,None,None
Hmm,11,PBS Kids,None,None,None
Grandmaster Flash,8,PBS Kids,male,composer|disc jockey|record producer|musician|rapper,African Americans
